Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
RG Sharma,24,798,966,23,34.70,82.61,150,86,20,2,3
S Dhawan,23,992,"1,070",22,45.09,92.71,137,131,8,6,3
V Kohli,29,"1,504","1,754",23,65.39,85.75,160,121,17,8,5
AM Rahane,12,474,522,11,43.09,90.80,87,41,8,5,0
HH Pandya,5,41,42,3,13.67,97.62,15,4,1,0,0
MS Dhoni,23,634,710,18,35.22,89.30,92,51,11,3,0
KM Jadhav,1,1,3,1,1.00,33.33,1,0,0,0,0
B Kumar,9,60,103,6,10.00,58.25,19,4,0,0,0
SS Iyer,9,370,381,7,52.86,97.11,113,40,4,2,1
Kuldeep Yadav,2,2,5,1,2.00,40.00,2,0,0,0,0
V Sehwag,3,128,114,3,42.67,112.28,73,19,2,1,0
SR Tendulkar,5,346,308,4,86.50,112.34,200,36,6,0,2
KD Karthik,4,148,167,4,37.00,88.62,79,12,5,1,0
SK Raina,16,351,390,16,21.94,90.00,58,30,6,2,0
YK Pathan,7,225,169,7,32.14,133.14,105,20,14,1,1
RA Jadeja,7,191,167,5,38.20,114.37,47,20,4,0,0
P Kumar,1,13,14,1,13.00,92.86,13,0,0,0,0
A Nehra,5,24,40,3,8.00,60.00,16,2,1,0,0
M Vijay,4,43,59,4,10.75,72.88,25,8,0,0,0
S Sreesanth,1,1,3,1,1.00,33.33,1,0,0,0,0
A Mithun,1,24,23,1,24.00,104.35,24,0,2,0,0
S Tyagi,1,1,2,0,0,50.00,1,0,0,0,0
STR Binny,1,2,5,1,2.00,40.00,2,0,0,0,0
AR Patel,4,37,50,2,18.50,74.00,15,0,2,0,0
Harbhajan Singh,10,87,113,7,12.43,76.99,23,3,4,0,0
UT Yadav,2,5,8,2,2.50,62.50,4,1,0,0,0
MM Sharma,3,0,10,0,0,0.00,0,0,0,0,0
A Mishra,1,4,7,1,4.00,57.14,4,1,0,0,0
Yuvraj Singh,8,126,169,7,18.00,74.56,53,10,3,1,0
Z Khan,5,44,105,5,8.80,41.90,24,5,0,0,0
MM Patel,4,11,15,1,11.00,73.33,6,1,0,0,0
PA Patel,2,49,58,2,24.50,84.48,38,8,0,0,0
PP Chawla,1,8,11,1,8.00,72.73,8,1,0,0,0
R Ashwin,6,81,97,4,20.25,83.51,25,7,1,0,0
Mohammed Shami,3,12,23,2,6.00,52.17,8,1,0,0,0
I Sharma,1,0,2,0,0,0.00,0,0,0,0,0
KL Rahul,5,110,165,5,22.00,66.67,55,8,0,1,0
RR Pant,3,101,94,3,33.67,107.45,85,11,2,1,0
VR Iyer,2,24,40,2,12.00,60.00,22,0,1,0,0
SN Thakur,3,123,112,1,123.00,109.82,50,13,2,1,0
JJ Bumrah,2,26,38,1,26.00,68.42,14,3,0,0,0
SA Yadav,2,61,46,2,30.50,132.61,39,9,1,0,0
DL Chahar,1,54,34,1,54.00,158.82,54,5,2,1,0
J Yadav,1,2,6,1,2.00,33.33,2,0,0,0,0
YS Chahal,1,2,6,1,2.00,33.33,2,0,0,0,0
M Prasidh Krishna,1,2,3,0,0,66.67,2,0,0,0,0
Shubman Gill,4,103,114,4,25.75,90.35,49,17,1,0,0
RD Gaikwad,1,19,42,1,19.00,45.24,19,1,0,0,0
Ishan Kishan,3,123,139,3,41.00,88.49,93,9,7,1,0
SV Samson,3,118,103,0,0,114.56,86,10,4,1,0
Avesh Khan,1,3,6,1,3.00,50.00,3,0,0,0,0
Ravi Bishnoi,1,4,2,0,0,200.00,4,1,0,0,0
G Gambhir,1,69,75,1,69.00,92.00,69,7,0,1,0
