Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
G Gambhir,6,144,200,6,24.00,72.00,83,11,1,1,0
V Sehwag,4,83,111,4,20.75,74.77,38,14,0,0,0
V Kohli,15,662,652,12,55.17,101.53,183,62,8,2,3
MS Dhoni,9,311,414,6,51.83,75.12,113,18,9,2,1
RG Sharma,14,730,758,13,56.15,96.31,140,66,25,6,2
SK Raina,7,248,318,5,49.60,77.99,74,16,7,1,0
RA Jadeja,7,130,173,6,21.67,75.14,52,5,4,1,0
Harbhajan Singh,2,27,26,1,27.00,103.85,15,2,2,0,0
P Kumar,1,3,2,0,0,150.00,3,0,0,0,0
Yuvraj Singh,6,109,109,6,18.17,100.00,53,16,1,1,0
R Ashwin,6,45,73,4,11.25,61.64,31,4,0,0,0
B Kumar,3,3,20,2,1.50,15.00,2,0,0,0,0
AB Dinda,1,0,2,1,0.00,0.00,0,0,0,0,0
I Sharma,2,7,27,2,3.50,25.93,5,1,0,0,0
AM Rahane,3,27,62,3,9.00,43.55,23,4,0,0,0
Mohammed Shami,3,3,11,1,3.00,27.27,3,0,0,0,0
S Dhawan,7,380,371,7,54.29,102.43,114,46,5,2,1
AT Rayudu,3,101,126,1,101.00,80.16,58,8,1,1,0
KD Karthik,3,65,98,1,65.00,66.33,31,4,1,0,0
Shubman Gill,3,84,95,3,28.00,88.42,58,15,0,1,0
SS Iyer,2,67,71,1,67.00,94.37,53,5,2,1,0
Ishan Kishan,1,82,81,1,82.00,101.23,82,9,2,1,0
HH Pandya,4,209,158,3,69.67,132.28,87,13,11,2,0
SN Thakur,1,3,3,1,3.00,100.00,3,0,0,0,0
JJ Bumrah,2,17,23,2,8.50,73.91,16,3,0,0,0
Kuldeep Yadav,1,4,13,1,4.00,30.77,4,0,0,0,0
Mohammed Siraj,1,1,1,0,0,100.00,1,0,0,0,0
KL Rahul,3,187,213,1,187.00,87.79,111,17,4,1,1
A Mishra,1,1,1,0,0,100.00,1,0,0,0,0
SR Tendulkar,2,137,163,2,68.50,84.05,85,16,1,2,0
KM Jadhav,2,18,21,1,18.00,85.71,9,3,0,0,0
Z Khan,1,9,10,1,9.00,90.00,9,1,0,0,0
A Nehra,1,1,2,1,1.00,50.00,1,0,0,0,0
V Shankar,1,15,15,0,0,100.00,15,1,0,0,0
