Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
AM Rahane,11,469,573,10,46.90,81.85,89,45,3,6,0
RG Sharma,37,"2,193","2,241",34,64.50,97.86,209,175,84,8,8
V Kohli,44,"2,273","2,398",41,55.44,94.79,123,199,25,13,8
MK Pandey,9,203,177,5,40.60,114.69,104,22,2,0,1
KM Jadhav,11,371,423,8,46.38,87.71,81,39,4,3,0
MS Dhoni,28,970,"1,122",21,46.19,86.45,139,62,24,8,1
HH Pandya,12,557,496,10,55.70,112.30,92,38,24,4,0
B Kumar,9,158,194,7,22.57,81.44,46,15,2,0,0
Kuldeep Yadav,10,54,99,9,6.00,54.55,17,4,0,0,0
JJ Bumrah,8,22,30,3,7.33,73.33,10,3,1,0,0
YS Chahal,3,5,9,2,2.50,55.56,4,0,0,0,0
AR Patel,4,36,41,3,12.00,87.80,29,1,2,0,0
Mohammed Shami,13,62,68,8,7.75,91.18,14,6,2,0,0
UT Yadav,5,10,27,2,5.00,37.04,6,1,0,0,0
S Dhawan,29,"1,265","1,295",28,45.18,97.68,143,162,11,7,4
AT Rayudu,6,80,121,6,13.33,66.12,24,8,1,0,0
KD Karthik,2,37,35,1,37.00,105.71,25,2,0,0,0
RA Jadeja,26,474,591,18,26.33,80.20,66,27,9,1,0
V Shankar,4,120,107,4,30.00,112.15,46,10,4,0,0
KL Rahul,15,625,665,11,56.82,93.98,97,46,17,6,0
RR Pant,3,80,73,3,26.67,109.59,36,7,3,0,0
R Ashwin,8,85,122,6,14.17,69.67,28,5,0,0,0
Gurkeerat Singh,2,13,13,2,6.50,100.00,8,2,0,0,0
R Dhawan,2,12,13,1,12.00,92.31,9,1,0,0,0
I Sharma,2,1,6,1,1.00,16.67,1,0,0,0,0
M Vijay,1,15,18,1,15.00,83.33,15,3,0,0,0
Yuvraj Singh,6,134,177,5,26.80,75.71,58,13,2,2,0
SK Raina,12,341,345,10,34.10,98.84,71,31,5,2,0
SS Tiwary,1,12,17,0,0,70.59,12,2,0,0,0
R Vinay Kumar,4,29,47,3,9.67,61.70,12,2,0,0,0
SS Iyer,10,270,264,9,30.00,102.27,105,26,6,0,1
SN Thakur,1,13,10,1,13.00,130.00,13,2,0,0,0
MA Agarwal,2,50,44,2,25.00,113.64,28,6,1,0,0
NA Saini,2,39,45,0,0,86.67,29,2,1,0,0
Shubman Gill,6,268,282,6,44.67,95.04,104,23,8,1,1
Ishan Kishan,4,52,53,4,13.00,98.11,31,4,2,0,0
SA Yadav,6,130,96,5,26.00,135.42,72,12,7,2,0
Mohammed Siraj,3,4,16,2,2.00,25.00,3,0,0,0,0
RD Gaikwad,2,79,89,2,39.50,88.76,71,12,0,1,0
Washington Sundar,1,18,30,1,18.00,60.00,18,1,1,0,0
M Prasidh Krishna,1,0,3,0,0,0.00,0,0,0,0,0
G Gambhir,5,175,236,5,35.00,74.15,92,13,0,2,0
SR Tendulkar,4,72,101,4,18.00,71.29,53,9,0,1,0
R Sharma,1,1,2,1,1.00,50.00,1,0,0,0,0
P Kumar,2,16,21,2,8.00,76.19,15,2,0,0,0
V Sehwag,3,40,54,3,13.33,74.07,20,6,0,0,0
IK Pathan,2,41,49,2,20.50,83.67,22,2,3,0,0
Z Khan,1,9,11,1,9.00,81.82,9,2,0,0,0
MM Sharma,1,0,1,1,0.00,0.00,0,0,0,0,0
