Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
G Gambhir,5,191,226,5,38.20,84.51,82,17,0,1,0
V Sehwag,3,199,162,3,66.33,122.84,175,18,5,0,1
V Kohli,16,910,894,12,75.83,101.79,136,86,11,3,5
RG Sharma,15,738,742,12,61.50,99.46,137,65,26,3,3
MS Dhoni,11,423,505,8,52.88,83.76,101,36,2,1,1
SK Raina,11,365,332,7,52.14,109.94,65,34,8,3,0
SR Tendulkar,2,142,176,2,71.00,80.68,114,16,1,0,1
RA Jadeja,6,108,125,4,27.00,86.40,32,8,0,0,0
RV Uthappa,3,69,81,3,23.00,85.19,50,6,3,1,0
AM Rahane,6,168,234,6,28.00,71.79,73,14,3,2,0
CA Pujara,3,38,102,3,12.67,37.25,27,2,0,0,0
AT Rayudu,8,86,134,6,14.33,64.18,44,6,0,0,0
WP Saha,2,21,33,2,10.50,63.64,16,3,0,0,0
STR Binny,3,45,55,1,45.00,81.82,25,6,0,0,0
AR Patel,7,137,121,6,22.83,113.22,56,8,7,1,0
A Mishra,1,4,16,1,4.00,25.00,4,0,0,0,0
MM Sharma,3,16,42,2,8.00,38.10,11,2,0,0,0
UT Yadav,3,19,26,2,9.50,73.08,17,2,1,0,0
MK Tiwary,1,2,6,1,2.00,33.33,2,0,0,0,0
S Dhawan,11,335,395,11,30.45,84.81,75,44,2,2,0
R Ashwin,3,7,14,2,3.50,50.00,4,0,0,0,0
B Kumar,4,51,65,3,17.00,78.46,25,3,2,0,0
DS Kulkarni,1,2,2,0,0,100.00,2,0,0,0,0
Yuvraj Singh,2,14,29,2,7.00,48.28,13,1,0,0,0
KD Karthik,5,82,114,3,27.33,71.93,37,5,2,0,0
SS Iyer,4,128,172,4,32.00,74.42,82,10,3,1,0
KL Rahul,6,225,273,5,45.00,82.42,77,17,6,2,0
Washington Sundar,3,67,89,3,22.33,75.28,37,5,1,0,0
Shahbaz Ahmed,1,0,4,1,0.00,0.00,0,0,0,0,0
SN Thakur,4,23,44,4,5.75,52.27,11,0,0,0,0
DL Chahar,2,11,21,2,5.50,52.38,11,0,1,0,0
Mohammed Siraj,3,11,34,2,5.50,32.35,9,1,0,0,0
KR Sen,1,2,4,0,0,50.00,2,0,0,0,0
Ishan Kishan,2,215,146,2,107.50,147.26,210,24,10,0,1
Kuldeep Yadav,2,8,8,0,0,100.00,5,0,0,0,0
KM Jadhav,1,23,27,0,0,85.19,23,1,1,0,0
NT Tilak Varma,1,5,9,1,5.00,55.56,5,1,0,0,0
Shubman Gill,2,174,188,2,87.00,92.55,121,13,7,1,1
SA Yadav,1,26,34,1,26.00,76.47,26,3,0,0,0
Mohammed Shami,2,7,8,2,3.50,87.50,6,1,0,0,0
M Prasidh Krishna,1,0,2,0,0,0.00,0,0,0,0,0
YK Pathan,1,8,10,1,8.00,80.00,8,0,0,0,0
RR Pant,1,48,41,1,48.00,117.07,48,6,1,0,0
HH Pandya,1,0,2,1,0.00,0.00,0,0,0,0,0
