Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
RG Sharma,16,674,761,13,51.85,88.57,137,85,14,4,2
S Dhawan,18,567,657,16,35.44,86.30,98,73,8,3,0
V Kohli,36,"1,340","1,520",32,41.88,88.16,122,127,12,9,3
KL Rahul,10,249,296,8,31.12,84.12,108,17,7,1,1
SK Raina,21,864,865,20,43.20,99.88,100,81,19,7,1
MS Dhoni,26,"1,045","1,111",18,58.06,94.06,134,85,27,7,1
HH Pandya,11,402,333,9,44.67,120.72,71,34,12,3,0
UT Yadav,2,0,4,1,0.00,0.00,0,0,0,0,0
Kuldeep Yadav,2,17,39,1,17.00,43.59,9,1,0,0,0
S Kaul,1,1,2,1,1.00,50.00,1,0,0,0,0
YS Chahal,2,15,25,2,7.50,60.00,12,2,0,0,0
KD Karthik,2,27,33,2,13.50,81.82,21,3,0,0,0
B Kumar,8,82,96,5,16.40,85.42,31,8,0,0,0
SN Thakur,2,52,34,1,52.00,152.94,30,1,5,0,0
PA Patel,9,239,308,9,26.56,77.60,95,24,3,1,0
AM Rahane,20,690,880,20,34.50,78.41,106,64,10,3,1
R Dravid,5,124,160,5,24.80,77.50,69,9,0,1,0
P Kumar,5,20,18,1,20.00,111.11,16,1,1,0,0
R Ashwin,13,128,105,9,14.22,121.90,36,12,2,0,0
R Vinay Kumar,1,1,1,0,0,100.00,1,0,0,0,0
MK Tiwary,2,35,37,2,17.50,94.59,24,5,0,0,0
RA Jadeja,20,509,518,12,42.42,98.26,87,44,12,3,0
AT Rayudu,4,152,213,3,50.67,71.36,64,12,2,2,0
Mohammed Shami,6,51,66,6,8.50,77.27,25,5,2,0,0
G Gambhir,11,391,472,10,39.10,82.84,84,45,1,4,0
Yuvraj Singh,9,394,377,9,43.78,104.51,150,56,6,2,1
AB Dinda,1,3,4,1,3.00,75.00,3,0,0,0,0
I Sharma,1,7,5,0,0,140.00,7,1,0,0,0
KM Jadhav,4,244,174,3,81.33,140.23,120,28,6,1,1
SS Iyer,2,10,25,2,5.00,40.00,6,1,0,0,0
KH Pandya,3,95,74,1,95.00,128.38,58,8,2,1,0
RR Pant,5,312,249,4,78.00,125.30,125,28,13,2,1
M Prasidh Krishna,2,0,6,2,0.00,0.00,0,0,0,0,0
SA Yadav,3,92,104,3,30.67,88.46,49,6,2,0,0
JJ Bumrah,2,18,31,0,0,58.06,16,1,0,0,0
STR Binny,2,51,67,2,25.50,76.12,44,4,2,0,0
AR Patel,2,1,6,2,0.50,16.67,1,0,0,0,0
MM Sharma,1,7,6,0,0,116.67,7,1,0,0,0
V Sehwag,1,35,26,1,35.00,134.62,35,6,0,0,0
SR Tendulkar,1,120,115,1,120.00,104.35,120,10,5,0,1
YK Pathan,1,14,8,1,14.00,175.00,14,1,1,0,0
Z Khan,1,4,5,1,4.00,80.00,4,0,0,0,0
Harbhajan Singh,1,0,1,1,0.00,0.00,0,0,0,0,0
PP Chawla,1,2,4,1,2.00,50.00,2,0,0,0,0
Shubman Gill,1,9,13,1,9.00,69.23,9,1,0,0,0
