Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
RG Sharma,25,892,"1,047",25,35.68,85.20,147,80,38,5,2
AM Rahane,10,194,289,10,19.40,67.13,57,20,3,1,0
V Kohli,30,"1,528","1,606",27,56.59,95.14,154,137,22,9,5
MK Pandey,6,118,146,5,23.60,80.82,42,8,1,0,0
MS Dhoni,18,671,840,15,44.73,79.88,80,51,16,5,0
KM Jadhav,11,212,226,7,30.29,93.81,41,18,6,0,0
AR Patel,3,79,80,3,26.33,98.75,38,4,3,0,0
HH Pandya,10,274,278,10,27.40,98.56,54,21,10,1,0
A Mishra,2,15,20,2,7.50,75.00,14,1,0,0,0
UT Yadav,2,25,35,1,25.00,71.43,18,1,0,0,0
JJ Bumrah,2,0,2,1,0.00,0.00,0,0,0,0,0
DS Kulkarni,1,25,26,0,0,96.15,25,2,1,0,0
J Yadav,1,1,1,0,0,100.00,1,0,0,0,0
S Dhawan,15,463,599,14,33.07,77.30,75,58,5,4,0
KD Karthik,8,163,231,5,32.60,70.56,64,16,1,1,0
B Kumar,8,74,74,8,9.25,100.00,26,7,2,0,0
AT Rayudu,7,247,329,5,49.40,75.08,90,23,8,1,0
Shubman Gill,9,510,472,7,72.86,108.05,208,52,18,1,2
Kuldeep Yadav,3,23,42,2,11.50,54.76,15,1,0,0,0
YS Chahal,5,41,77,3,13.67,53.25,18,5,0,0,0
KK Ahmed,1,5,5,1,5.00,100.00,5,1,0,0,0
V Shankar,1,45,64,1,45.00,70.31,45,4,0,0,0
Mohammed Shami,7,28,31,2,14.00,90.32,14,1,1,0,0
SS Iyer,6,379,391,6,63.17,96.93,103,45,6,3,1
RR Pant,3,57,95,3,19.00,60.00,32,8,0,0,0
SA Yadav,6,91,77,5,18.20,118.18,34,7,5,0,0
SV Samson,1,36,38,1,36.00,94.74,36,4,0,0,0
Washington Sundar,4,109,108,3,36.33,100.93,51,9,4,1,0
SN Thakur,5,54,43,5,10.80,125.58,25,7,1,0,0
DJ Hooda,1,12,25,1,12.00,48.00,12,0,0,0,0
DL Chahar,1,12,9,1,12.00,133.33,12,0,2,0,0
Arshdeep Singh,1,9,9,1,9.00,100.00,9,0,1,0,0
Umran Malik,2,2,9,0,0,22.22,2,0,0,0,0
M Vijay,3,92,140,3,30.67,65.71,33,10,1,0,0
G Gambhir,5,329,298,3,109.67,110.40,138,44,0,0,2
Yuvraj Singh,6,131,193,4,32.75,67.88,42,17,4,0,0
SK Raina,6,104,110,6,17.33,94.55,35,13,0,0,0
YK Pathan,2,152,115,1,152.00,132.17,123,10,8,0,1
WP Saha,1,4,5,1,4.00,80.00,4,0,0,0,0
R Ashwin,6,94,76,6,15.67,123.68,65,11,2,1,0
A Nehra,3,4,29,3,1.33,13.79,4,1,0,0,0
S Sreesanth,1,4,6,1,4.00,66.67,4,1,0,0,0
MM Patel,2,8,11,1,8.00,72.73,7,1,0,0,0
PA Patel,2,109,127,1,109.00,85.83,56,14,1,2,0
SS Tiwary,1,37,39,0,0,94.87,37,3,1,0,0
RA Jadeja,11,361,369,7,51.57,97.83,77,29,13,4,0
I Sharma,3,14,23,1,14.00,60.87,8,1,0,0,0
VR Aaron,2,2,4,1,2.00,50.00,2,0,0,0,0
PP Shaw,3,84,82,3,28.00,102.44,40,12,2,0,0
MA Agarwal,3,36,39,3,12.00,92.31,32,6,0,0,0
KL Rahul,5,232,227,4,58.00,102.20,112,15,8,1,1
NA Saini,2,53,55,1,53.00,96.36,45,7,2,0,0
Ishan Kishan,3,30,47,2,15.00,63.83,17,3,1,0,0
V Sehwag,2,129,116,2,64.50,111.21,110,19,1,0,1
P Kumar,2,7,20,2,3.50,35.00,6,1,0,0,0
A Mithun,1,4,16,1,4.00,25.00,4,0,0,0,0
PP Ojha,1,0,4,0,0,0.00,0,0,0,0,0
