Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
RG Sharma,36,"1,626","1,677",32,50.81,96.96,264,157,48,6,6
S Dhawan,19,"1,111","1,144",16,69.44,97.12,132,129,15,6,4
V Kohli,42,"2,245","2,323",33,68.03,96.64,166,207,25,10,9
KL Rahul,9,309,357,8,38.62,86.55,111,28,2,1,1
KM Jadhav,5,109,115,4,27.25,94.78,63,13,1,1,0
MS Dhoni,23,906,"1,050",14,64.71,86.29,91,87,17,7,0
HH Pandya,11,127,148,10,12.70,85.81,36,12,3,0,0
AR Patel,7,95,95,4,23.75,100.00,26,3,4,0,0
B Kumar,5,72,128,3,24.00,56.25,53,6,1,1,0
MK Pandey,6,162,200,5,32.40,81.00,50,10,1,1,0
AM Rahane,8,216,269,8,27.00,80.30,111,27,2,0,1
SS Iyer,7,338,305,7,48.29,110.82,88,31,11,3,0
KD Karthik,14,305,437,13,23.46,69.79,66,41,1,1,0
Kuldeep Yadav,3,29,36,2,14.50,80.56,19,6,0,0,0
JJ Bumrah,3,6,28,2,3.00,21.43,5,0,0,0,0
YS Chahal,1,0,9,0,0,0.00,0,0,0,0,0
G Gambhir,15,755,898,15,50.33,84.08,102,67,0,6,2
V Sehwag,13,416,367,12,34.67,113.35,99,60,3,2,0
Yuvraj Singh,7,174,231,5,34.80,75.32,74,17,3,1,0
SK Raina,27,768,763,19,40.42,100.66,106,61,16,4,1
RA Jadeja,15,281,367,10,28.10,76.57,49,11,5,0,0
Harbhajan Singh,3,19,35,2,9.50,54.29,11,0,0,0,0
Z Khan,4,20,17,4,5.00,117.65,16,2,1,0,0
A Nehra,4,10,20,2,5.00,50.00,4,0,0,0,0
S Sreesanth,2,5,18,1,5.00,27.78,4,0,0,0,0
AT Rayudu,6,268,295,5,53.60,90.85,121,25,5,1,1
WP Saha,2,16,18,0,0,88.89,10,2,0,0,0
RV Uthappa,2,35,37,1,35.00,94.59,19,3,0,0,0
STR Binny,2,12,19,2,6.00,63.16,12,2,0,0,0
R Ashwin,10,132,140,8,16.50,94.29,38,13,1,0,0
P Kumar,3,14,18,3,4.67,77.78,14,1,1,0,0
AB Dinda,2,2,13,2,1.00,15.38,2,0,0,0,0
PP Ojha,4,12,35,1,12.00,34.29,5,1,0,0,0
IK Pathan,6,131,121,3,43.67,108.26,47,13,1,0,0
UT Yadav,3,0,11,1,0.00,0.00,0,0,0,0,0
MK Tiwary,2,86,106,2,43.00,81.13,65,8,0,1,0
M Vijay,2,44,66,2,22.00,66.67,30,3,0,0,0
Mohammed Shami,4,20,16,2,10.00,125.00,14,0,2,0,0
I Sharma,4,7,50,3,2.33,14.00,3,0,0,0,0
R Vinay Kumar,3,6,22,3,2.00,27.27,5,0,0,0,0
NV Ojha,1,1,7,1,1.00,14.29,1,0,0,0,0
YK Pathan,1,44,41,1,44.00,107.32,44,6,1,0,0
Pankaj Singh,1,3,3,0,0,100.00,3,0,0,0,0
PP Shaw,3,105,84,3,35.00,125.00,49,20,0,0,0
Ishan Kishan,4,116,125,3,38.67,92.80,59,12,3,1,0
SA Yadav,5,140,114,4,35.00,122.81,53,20,0,1,0
KH Pandya,1,35,54,1,35.00,64.81,35,3,0,0,0
DL Chahar,1,69,82,0,0,84.15,69,7,1,1,0
SV Samson,1,46,46,1,46.00,100.00,46,5,1,0,0
N Rana,1,7,14,1,7.00,50.00,7,0,0,0,0
K Gowtham,1,2,3,1,2.00,66.67,2,0,0,0,0
RD Chahar,1,13,25,1,13.00,52.00,13,0,0,0,0
NA Saini,1,15,37,1,15.00,40.54,15,0,0,0,0
C Sakariya,1,0,1,0,0,0.00,0,0,0,0,0
Shubman Gill,6,345,305,5,69.00,113.11,116,49,4,2,1
Mohammed Siraj,2,12,27,0,0,44.44,7,0,0,0,0
SR Tendulkar,6,148,173,6,24.67,85.55,48,18,0,0,0
MM Patel,1,0,1,0,0,0.00,0,0,0,0,0
PA Patel,1,4,7,1,4.00,57.14,4,0,0,0,0
RR Pant,1,4,4,1,4.00,100.00,4,1,0,0,0
