Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Mishra,4,40.0,218,4,5.45,54.50,60.00,0,0,2/47,14,4,107
A Mithun,1,8.0,63,0,7.88,0,0,0,0,0/63,9,0,16
A Nehra,7,52.4,366,6,6.95,61.00,52.67,0,0,2/60,41,4,140
AR Patel,4,37.0,195,5,5.27,39.00,44.40,0,0,3/39,16,4,105
Avesh Khan,3,20.0,94,0,4.70,0,0,0,0,0/8,9,2,76
B Kumar,16,133.1,863,15,6.48,57.53,53.27,0,0,3/41,87,22,394
DL Chahar,1,8.0,53,2,6.62,26.50,24.00,0,0,2/53,6,0,26
Harbhajan Singh,10,96.0,470,13,4.90,36.15,44.31,0,0,3/53,25,8,272
HH Pandya,8,60.0,299,5,4.98,59.80,72.00,0,0,2/30,26,2,178
I Sharma,3,25.0,144,6,5.76,24.00,25.00,1,0,4/40,18,1,77
J Yadav,1,10.0,53,0,5.30,0,0,0,0,0/53,3,1,30
JJ Bumrah,12,95.0,381,17,4.01,22.41,33.53,0,0,2/24,39,1,354
KM Jadhav,3,10.0,46,0,4.60,0,0,0,0,0/11,3,0,27
Kuldeep Yadav,11,87.2,395,26,4.52,15.19,20.15,3,0,4/18,23,12,287
M Prasidh Krishna,1,9.5,59,3,6.00,19.67,19.67,0,0,3/59,7,1,31
MM Patel,6,51.0,271,13,5.31,20.85,23.54,1,0,4/29,27,2,155
MM Sharma,6,48.0,328,7,6.83,46.86,41.14,0,0,2/31,36,8,144
Mohammed Shami,5,40.0,233,13,5.82,17.92,18.46,0,0,3/48,21,7,132
Mohammed Siraj,4,27.0,115,6,4.26,19.17,27.00,0,0,3/38,14,1,106
P Kumar,2,13.0,77,3,5.92,25.67,26.00,0,0,2/46,9,1,41
PP Chawla,1,7.0,32,0,4.57,0,0,0,0,0/32,3,0,19
R Ashwin,9,81.4,435,7,5.33,62.14,70.00,0,0,3/41,30,6,207
RA Jadeja,10,89.1,402,15,4.51,26.80,35.67,0,1,5/33,26,3,259
Ravi Bishnoi,1,8.0,69,1,8.62,69.00,48.00,0,0,1/69,7,1,21
RG Sharma,6,17.0,95,3,5.59,31.67,34.00,0,0,2/30,3,2,32
S Sreesanth,3,25.0,206,5,8.24,41.20,30.00,0,0,3/49,27,5,69
S Tyagi,1,8.0,59,0,7.38,0,0,0,0,0/59,6,2,23
Shahbaz Ahmed,2,17.0,86,3,5.06,28.67,34.00,0,0,2/32,8,1,48
SK Raina,15,50.0,288,2,5.76,144.00,150.00,0,0,1/19,16,5,115
SN Thakur,6,38.5,238,8,6.13,29.75,29.12,1,0,4/52,24,6,120
SS Iyer,2,3.1,22,0,6.95,0,0,0,0,0/1,1,1,7
STR Binny,1,8.0,63,0,7.88,0,0,0,0,0/63,4,3,16
UT Yadav,6,49.0,334,6,6.82,55.67,49.00,0,0,2/71,47,4,144
V Kohli,6,12.2,80,1,6.49,80.00,74.00,0,0,1/15,2,3,23
V Sehwag,1,5.0,25,0,5.00,0,0,0,0,0/25,2,0,15
VR Iyer,1,5.0,28,0,5.60,0,0,0,0,0/28,2,0,10
Washington Sundar,2,13.0,75,3,5.77,25.00,26.00,0,0,2/15,8,1,37
YK Pathan,7,45.0,229,5,5.09,45.80,54.00,0,0,2/37,12,4,114
YS Chahal,10,91.1,460,22,5.05,20.91,24.86,2,1,5/22,23,14,278
Yuvraj Singh,6,37.0,191,5,5.16,38.20,44.40,0,0,3/34,8,2,89
Z Khan,6,56.2,269,10,4.78,26.90,33.80,0,0,3/43,27,1,179
