Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Mishra,1,10.0,78,0,7.80,0,0,0,0,0/78,7,4,25
A Nehra,1,10.0,57,2,5.70,28.50,30.00,0,0,2/57,6,1,30
AR Patel,5,41.0,231,6,5.63,38.50,41.00,0,0,3/38,19,7,127
AT Rayudu,1,2.0,13,0,6.50,0,0,0,0,0/13,2,0,6
B Kumar,18,155.0,819,23,5.28,35.61,40.43,1,0,4/45,80,16,512
BB Sran,3,26.2,170,3,6.46,56.67,52.67,0,0,3/56,17,2,75
Gurkeerat Singh,3,10.0,68,0,6.80,0,0,0,0,0/17,6,2,22
Harbhajan Singh,1,10.0,50,0,5.00,0,0,0,0,0/50,2,0,30
HH Pandya,11,62.0,399,12,6.44,33.25,31.00,0,0,3/44,41,7,177
I Sharma,7,64.0,439,11,6.86,39.91,34.91,1,0,4/77,41,9,183
IK Pathan,2,15.0,89,3,5.93,29.67,30.00,0,0,3/61,9,0,43
JD Unadkat,1,6.0,31,0,5.17,0,0,0,0,0/31,4,0,21
JJ Bumrah,20,185.3,981,28,5.29,35.04,39.75,0,0,3/61,113,9,633
KK Ahmed,1,8.0,55,0,6.88,0,0,0,0,0/55,6,0,23
KM Jadhav,9,47.0,283,4,6.02,70.75,70.50,0,0,1/31,17,8,117
Kuldeep Yadav,21,188.0,"1,132",31,6.02,36.52,36.39,0,0,3/54,73,35,489
M Prasidh Krishna,2,11.0,101,3,9.18,33.67,22.00,0,0,2/56,13,4,30
MA Agarwal,1,1.0,10,0,10.00,0,0,0,0,0/10,2,0,2
MM Patel,1,7.0,44,0,6.29,0,0,0,0,0/44,7,0,22
MM Sharma,1,10.0,75,2,7.50,37.50,30.00,0,0,2/75,8,2,24
Mohammed Shami,23,198.4,"1,201",38,6.05,31.61,31.37,1,1,5/51,139,20,637
Mohammed Siraj,6,41.1,273,7,6.63,39.00,35.29,0,0,3/29,42,4,136
NA Saini,4,37.0,280,4,7.57,70.00,55.50,0,0,2/62,32,6,91
P Kumar,3,26.0,123,2,4.73,61.50,78.00,0,0,2/37,9,3,91
R Ashwin,18,163.0,907,21,5.56,43.19,46.57,0,0,3/41,53,26,435
R Dhawan,3,25.0,160,1,6.40,160.00,150.00,0,0,1/74,11,2,61
R Sharma,1,6.2,44,1,6.95,44.00,38.00,0,0,1/44,1,0,10
R Vinay Kumar,9,79.3,555,13,6.98,42.69,36.69,0,0,3/21,54,22,241
RA Jadeja,34,322.0,"1,720",31,5.34,55.48,62.32,0,0,3/28,114,34,879
RG Sharma,4,8.0,60,2,7.50,30.00,24.00,0,0,1/17,3,2,13
SK Raina,6,26.0,145,0,5.58,0,0,0,0,0/4,8,4,68
SN Thakur,5,31.0,219,3,7.06,73.00,62.00,0,0,3/51,26,5,85
SR Tendulkar,1,2.0,9,0,4.50,0,0,0,0,0/9,0,0,5
T Natarajan,1,10.0,70,2,7.00,35.00,30.00,0,0,2/70,7,2,30
UT Yadav,11,99.5,677,21,6.78,32.24,28.52,2,0,4/71,79,9,291
V Kohli,8,10.0,82,0,8.20,0,0,0,0,0/4,8,2,18
V Sehwag,1,9.0,43,3,4.78,14.33,18.00,0,0,3/43,2,1,26
V Shankar,5,23.3,133,2,5.66,66.50,70.50,0,0,2/15,15,0,65
Washington Sundar,1,10.0,48,0,4.80,0,0,0,0,0/48,5,0,30
YS Chahal,9,82.0,516,16,6.29,32.25,30.75,0,1,6/42,27,21,219
Yuvraj Singh,6,34.0,193,4,5.68,48.25,51.00,0,0,2/34,21,1,90
Z Khan,3,30.0,145,4,4.83,36.25,45.00,0,0,2/53,12,1,95
