Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Mishra,2,20.0,109,2,5.45,54.50,60.00,0,0,2/55,9,2,59
A Nehra,3,20.0,130,5,6.50,26.00,24.00,0,0,2/28,14,3,68
AB Dinda,1,5.2,38,0,7.12,0,0,0,0,0/38,5,1,17
AR Patel,6,47.0,260,6,5.53,43.33,47.00,0,0,2/22,25,7,146
AT Rayudu,2,5.0,22,1,4.40,22.00,30.00,0,0,1/5,2,0,17
B Kumar,7,56.0,279,9,4.98,31.00,37.33,0,0,3/32,26,4,198
DL Chahar,2,11.0,44,1,4.00,44.00,66.00,0,0,1/32,6,0,48
DS Kulkarni,2,15.0,76,3,5.07,25.33,30.00,0,0,2/34,7,1,52
Harbhajan Singh,3,26.0,129,3,4.96,43.00,52.00,0,0,1/32,8,0,77
HH Pandya,3,14.3,102,3,7.03,34.00,29.00,0,0,3/60,9,2,37
IK Pathan,1,9.0,61,0,6.78,0,0,0,0,0/61,5,2,21
JJ Bumrah,5,47.4,211,12,4.43,17.58,23.83,1,0,4/55,25,2,181
KM Jadhav,2,15.0,63,4,4.20,15.75,22.50,0,0,2/22,3,1,46
KR Sen,1,5.0,37,2,7.40,18.50,15.00,0,0,2/37,1,3,16
Kuldeep Yadav,4,40.0,179,5,4.48,35.80,48.00,0,0,3/45,7,5,125
M Prasidh Krishna,1,9.0,43,1,4.78,43.00,54.00,0,0,1/43,3,0,27
MM Patel,1,10.0,48,4,4.80,12.00,15.00,1,0,4/48,3,2,37
MM Sharma,4,25.2,134,6,5.29,22.33,25.33,1,0,4/22,21,0,91
Mohammed Shami,4,35.0,187,9,5.34,20.78,23.33,1,0,4/50,27,0,126
Mohammed Siraj,4,35.0,192,8,5.49,24.00,26.25,0,0,3/32,24,3,131
NT Tilak Varma,1,4.0,21,0,5.25,0,0,0,0,0/21,0,2,13
P Kumar,2,17.0,94,4,5.53,23.50,25.50,0,0,3/56,9,2,62
Parvez Rasool,1,10.0,60,2,6.00,30.00,30.00,0,0,2/60,6,1,25
R Ashwin,7,70.1,308,8,4.39,38.50,52.62,0,0,3/51,16,6,228
RA Jadeja,13,108.0,481,14,4.45,34.36,46.29,1,0,4/29,40,6,356
RG Sharma,2,3.0,18,1,6.00,18.00,18.00,0,0,1/5,0,1,8
RV Uthappa,1,0.2,0,0,0.00,0,0,0,0,1/1000,0,0,2
S Sreesanth,3,21.0,160,2,7.62,80.00,63.00,0,0,1/53,21,0,63
S Tyagi,1,6.0,24,1,4.00,24.00,36.00,0,0,1/24,5,0,28
Shahbaz Ahmed,1,9.0,39,0,4.33,0,0,0,0,0/39,3,0,27
SK Raina,6,35.0,168,4,4.80,42.00,52.50,0,0,3/45,13,1,101
SN Thakur,5,43.0,222,8,5.16,27.75,32.25,0,0,3/30,18,8,154
STR Binny,2,10.4,45,7,4.22,6.43,9.14,0,1,6/4,5,1,46
Umran Malik,2,18.0,101,4,5.61,25.25,27.00,0,0,2/43,14,0,60
UT Yadav,5,35.0,202,9,5.77,22.44,23.33,1,0,4/31,28,1,126
V Kohli,3,3.4,20,0,5.45,0,0,0,0,0/2,0,0,5
V Sehwag,2,4.5,23,4,4.76,5.75,7.25,1,0,4/6,0,1,20
VR Aaron,1,7.5,74,1,9.45,74.00,47.00,0,0,1/74,7,3,22
Washington Sundar,3,16.0,56,6,3.50,9.33,16.00,0,0,3/37,2,1,57
YK Pathan,1,8.0,49,1,6.12,49.00,48.00,0,0,1/49,3,0,12
YS Chahal,3,28.0,121,2,4.32,60.50,84.00,0,0,1/31,7,4,95
Yuvraj Singh,3,27.0,108,2,4.00,54.00,81.00,0,0,1/33,5,1,84
Z Khan,3,21.0,112,2,5.33,56.00,63.00,0,0,2/40,11,0,69
