Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
AB Dinda,1,8.0,53,2,6.62,26.50,24.00,0,0,2/53,6,1,27
AR Patel,2,17.3,71,1,4.06,71.00,105.00,0,0,1/39,7,0,62
AT Rayudu,1,2.0,8,1,4.00,8.00,12.00,0,0,1/8,0,0,5
B Kumar,17,136.0,670,16,4.93,41.88,51.00,0,0,3/29,87,5,505
DS Kulkarni,1,7.0,35,0,5.00,0,0,0,0,0/35,4,0,23
Harbhajan Singh,1,10.0,58,1,5.80,58.00,60.00,0,0,1/58,4,0,18
HH Pandya,11,83.3,493,12,5.90,41.08,41.75,1,0,4/24,44,11,233
I Sharma,6,45.0,263,7,5.84,37.57,38.57,0,0,2/29,34,6,165
JJ Bumrah,7,63.1,372,17,5.89,21.88,22.29,0,1,6/19,37,11,221
KH Pandya,3,20.0,160,1,8.00,160.00,120.00,0,0,1/59,5,11,44
KM Jadhav,2,9.0,68,0,7.56,0,0,0,0,0/23,7,1,13
Kuldeep Yadav,7,67.0,396,12,5.91,33.00,33.50,0,1,6/25,26,16,193
M Prasidh Krishna,6,47.1,301,8,6.38,37.62,35.38,1,0,4/54,39,7,164
MK Tiwary,1,5.0,28,1,5.60,28.00,30.00,0,0,1/28,4,0,17
MM Patel,5,37.4,248,4,6.58,62.00,56.50,0,0,2/70,20,3,80
MM Sharma,3,19.0,71,2,3.74,35.50,57.00,0,0,2/36,9,0,75
Mohammed Shami,15,115.3,565,25,4.89,22.60,27.72,1,1,5/69,67,7,434
Mohammed Siraj,2,15.0,99,2,6.60,49.50,45.00,0,0,2/66,10,2,51
P Kumar,9,60.0,316,7,5.27,45.14,51.43,0,0,2/11,34,4,208
PP Chawla,1,10.0,71,2,7.10,35.50,30.00,0,0,2/71,5,3,22
R Ashwin,22,191.2,980,35,5.12,28.00,32.80,0,0,3/28,63,22,547
R Vinay Kumar,8,46.5,270,8,5.77,33.75,35.12,1,0,4/30,33,7,162
RA Jadeja,25,199.3,952,39,4.77,24.41,30.69,2,0,4/28,50,23,582
RP Singh,3,22.0,142,4,6.45,35.50,33.00,0,0,3/59,16,1,60
S Kaul,2,18.0,121,0,6.72,0,0,0,0,0/59,12,3,46
SK Raina,17,58.0,280,7,4.83,40.00,49.71,0,0,1/1,25,1,164
SN Thakur,4,33.3,209,8,6.24,26.12,25.12,1,0,4/67,21,5,99
STR Binny,2,15.0,67,4,4.47,16.75,22.50,0,0,3/33,7,0,60
T Natarajan,1,10.0,73,1,7.30,73.00,60.00,0,0,1/73,7,2,29
UT Yadav,9,64.1,447,10,6.97,44.70,38.50,0,0,2/32,51,5,176
V Kohli,7,25.0,138,2,5.52,69.00,75.00,0,0,1/20,9,1,56
VR Aaron,2,9.1,43,4,4.69,10.75,13.75,0,0,3/24,5,0,32
YK Pathan,1,3.0,21,0,7.00,0,0,0,0,0/21,3,0,7
YS Chahal,7,61.5,340,9,5.50,37.78,41.22,1,0,4/47,19,13,178
Yuvraj Singh,5,18.0,111,0,6.17,0,0,0,0,0/14,10,2,42
Z Khan,1,10.0,64,3,6.40,21.33,20.00,0,0,3/64,8,0,27
