Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Mishra,5,44.5,215,15,4.80,14.33,17.93,0,1,5/18,15,3,132
A Mithun,1,4.0,24,0,6.00,0,0,0,0,0/24,2,0,13
A Nehra,7,56.0,288,11,5.14,26.18,30.55,1,0,4/47,37,2,206
AR Patel,7,60.1,280,5,4.65,56.00,72.20,0,0,2/9,21,4,190
Arshdeep Singh,2,13.1,89,0,6.76,0,0,0,0,0/21,10,3,45
AT Rayudu,1,3.0,23,0,7.67,0,0,0,0,0/23,2,1,6
B Kumar,14,118.1,646,19,5.47,34.00,37.32,0,0,3/43,68,17,409
DL Chahar,1,5.0,30,0,6.00,0,0,0,0,0/30,6,0,19
DS Kulkarni,1,7.0,59,1,8.43,59.00,42.00,0,0,1/59,7,0,13
HH Pandya,14,95.1,545,15,5.73,36.33,38.07,0,0,3/31,59,11,318
I Sharma,3,21.0,145,3,6.90,48.33,42.00,0,0,1/27,12,5,60
J Yadav,1,4.0,8,1,2.00,8.00,24.00,0,0,1/8,0,0,18
JJ Bumrah,12,111.4,524,14,4.69,37.43,47.86,0,0,3/35,47,7,378
KK Ahmed,1,3.0,19,0,6.33,0,0,0,0,0/19,4,0,13
KM Jadhav,10,53.0,261,9,4.92,29.00,35.33,0,0,3/29,21,2,153
Kuldeep Yadav,10,83.3,480,19,5.75,25.26,26.37,2,0,4/39,36,12,227
MM Patel,5,36.0,131,5,3.64,26.20,43.20,0,0,3/21,13,0,138
Mohammed Shami,13,108.1,658,30,6.08,21.93,21.63,1,1,5/54,74,19,364
Mohammed Siraj,3,26.0,101,6,3.88,16.83,26.00,1,0,4/46,11,1,103
NA Saini,2,18.0,116,0,6.44,0,0,0,0,0/48,13,3,63
P Kumar,4,30.0,139,7,4.63,19.86,25.71,0,0,3/34,20,2,123
PP Ojha,1,10.0,58,1,5.80,58.00,60.00,0,0,1/58,5,1,28
R Ashwin,10,91.0,468,12,5.14,39.00,45.50,0,0,3/24,29,10,265
RA Jadeja,13,115.0,591,8,5.14,73.88,86.25,0,0,2/47,48,9,334
RG Sharma,1,4.0,19,0,4.75,0,0,0,0,0/19,2,0,12
S Sreesanth,2,14.2,77,7,5.37,11.00,12.29,1,0,4/47,8,1,48
SK Raina,4,10.0,53,1,5.30,53.00,60.00,0,0,1/18,2,2,25
SN Thakur,7,56.3,415,11,7.35,37.73,30.82,0,0,3/45,47,15,176
STR Binny,1,1.0,8,0,8.00,0,0,0,0,0/8,1,0,2
Umran Malik,3,22.0,149,4,6.77,37.25,33.00,0,0,2/66,15,4,67
UT Yadav,5,41.0,236,8,5.76,29.50,30.75,0,0,3/75,29,3,134
V Kohli,3,12.0,61,1,5.08,61.00,72.00,0,0,1/36,4,1,30
V Sehwag,1,3.0,17,0,5.67,0,0,0,0,0/17,0,1,8
V Shankar,3,10.0,55,0,5.50,0,0,0,0,0/17,8,0,32
VR Aaron,3,23.1,163,4,7.04,40.75,34.75,0,0,2/60,19,3,63
Washington Sundar,5,29.0,164,2,5.66,82.00,87.00,0,0,2/7,9,8,84
YK Pathan,5,26.0,134,8,5.15,16.75,19.50,0,0,3/49,8,4,73
YS Chahal,13,116.2,631,22,5.42,28.68,31.73,0,0,3/41,42,15,319
Yuvraj Singh,5,28.0,140,6,5.00,23.33,28.00,0,0,3/43,7,2,78
Z Khan,2,16.0,71,2,4.44,35.50,48.00,0,0,2/31,5,2,66
