Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Mishra,2,19.1,80,3,4.17,26.67,38.33,0,0,3/40,5,1,68
A Nehra,6,42.2,235,7,5.55,33.57,36.29,1,0,4/40,30,2,160
AB Dinda,6,45.5,284,7,6.20,40.57,39.29,0,0,2/44,31,3,136
AR Patel,12,103.1,456,18,4.42,25.33,34.39,0,0,3/34,40,9,368
AT Rayudu,3,8.0,58,1,7.25,58.00,48.00,0,0,1/16,5,2,19
B Kumar,15,130.3,625,20,4.79,31.25,39.15,1,1,5/42,70,3,473
C Sakariya,1,8.0,34,2,4.25,17.00,24.00,0,0,2/34,4,0,33
DL Chahar,2,15.0,90,4,6.00,22.50,22.50,0,0,2/37,9,2,49
DS Kulkarni,3,27.2,149,8,5.45,18.62,20.50,1,0,4/34,16,0,90
Harbhajan Singh,4,39.0,168,6,4.31,28.00,39.00,0,0,3/47,10,0,118
HH Pandya,16,101.4,552,16,5.43,34.50,38.12,0,0,3/3,63,4,335
I Sharma,10,72.1,370,17,5.13,21.76,25.47,1,0,4/34,44,6,256
IK Pathan,8,67.1,335,15,4.99,22.33,26.87,1,1,5/61,28,1,222
JJ Bumrah,13,105.2,433,26,4.11,16.65,24.31,1,1,5/27,44,4,412
K Gowtham,1,8.0,49,1,6.12,49.00,48.00,0,0,1/49,6,0,25
KH Pandya,2,18.0,63,1,3.50,63.00,108.00,0,0,1/26,3,0,59
KM Jadhav,5,19.4,108,3,5.49,36.00,39.33,0,0,2/26,5,1,47
Kuldeep Yadav,11,85.1,388,18,4.56,21.56,28.39,1,0,4/43,33,3,275
KV Sharma,2,19.0,125,0,6.58,0,0,0,0,0/61,9,7,60
MK Tiwary,2,11.0,75,4,6.82,18.75,16.50,1,0,4/61,1,5,29
MM Patel,2,18.0,84,2,4.67,42.00,54.00,0,0,2/43,9,0,63
Mohammed Shami,6,47.0,297,11,6.32,27.00,25.64,0,1,5/18,37,4,154
Mohammed Siraj,6,41.4,146,19,3.50,7.68,13.16,1,1,6/21,19,3,191
MS Dhoni,1,4.0,17,0,4.25,0,0,0,0,0/17,1,0,12
N Rana,1,3.0,10,0,3.33,0,0,0,0,0/10,0,0,9
NA Saini,1,5.0,27,0,5.40,0,0,0,0,0/27,1,1,19
P Kumar,8,68.0,360,6,5.29,60.00,68.00,0,0,2/20,40,1,240
Pankaj Singh,1,7.0,45,0,6.43,0,0,0,0,0/45,5,1,22
PP Ojha,6,46.0,223,7,4.85,31.86,39.43,0,0,3/36,13,5,144
R Ashwin,20,187.0,869,32,4.65,27.16,35.06,0,0,3/32,50,12,559
R Sharma,1,8.0,45,1,5.62,45.00,48.00,0,0,1/45,2,0,15
R Vinay Kumar,5,43.0,220,7,5.12,31.43,36.86,0,0,3/46,19,1,137
RA Jadeja,23,181.4,843,24,4.64,35.12,45.42,1,0,4/23,61,10,568
RD Chahar,1,10.0,54,3,5.40,18.00,20.00,0,0,3/54,6,0,31
RG Sharma,7,20.0,95,0,4.75,0,0,0,0,0/4,4,1,50
S Sreesanth,4,31.3,209,2,6.63,104.50,94.50,0,0,1/38,33,0,99
S Tyagi,1,7.0,46,1,6.57,46.00,42.00,0,0,1/46,9,0,25
SK Raina,10,30.0,159,2,5.30,79.50,90.00,0,0,1/10,7,3,75
SN Thakur,2,13.0,74,1,5.69,74.00,78.00,0,0,1/26,11,0,45
SR Tendulkar,1,2.0,12,0,6.00,0,0,0,0,0/12,0,0,4
SS Iyer,2,2.0,4,0,2.00,0,0,0,0,0/2,0,0,8
STR Binny,3,20.0,105,3,5.25,35.00,40.00,0,0,2/55,12,1,60
Umran Malik,2,15.0,105,5,7.00,21.00,18.00,0,0,3/57,16,1,49
UT Yadav,14,112.4,698,15,6.20,46.53,45.07,1,0,4/53,80,9,357
V Kohli,11,20.3,119,0,5.80,0,0,0,0,0/3,10,0,51
V Sehwag,8,29.0,146,1,5.03,146.00,174.00,0,0,1/38,5,2,70
VR Aaron,1,4.1,26,0,6.24,0,0,0,0,0/26,3,0,13
Washington Sundar,1,10.0,65,1,6.50,65.00,60.00,0,0,1/65,7,2,27
YK Pathan,1,4.0,32,0,8.00,0,0,0,0,0/32,4,1,10
YS Chahal,9,90.0,454,17,5.04,26.71,31.76,0,0,3/46,29,12,271
Yuvraj Singh,5,36.0,164,5,4.56,32.80,43.20,0,0,2/49,10,0,102
Z Khan,13,114.0,619,16,5.43,38.69,42.75,0,0,3/38,68,6,397
